name,manifest_tag,max_sdk_version
android.permission.ACCESS_ADSERVICES_AD_ID,uses-permission,
android.permission.ACCESS_ADSERVICES_ATTRIBUTION,uses-permission,
android.permission.ACCESS_ADSERVICES_CUSTOM_AUDIENCE,uses-permission,
android.permission.ACCESS_ADSERVICES_TOPICS,uses-permission,
android.permission.ACCESS_COARSE_LOCATION,uses-permission,
android.permission.ACCESS_FINE_LOCATION,uses-permission,
android.permission.ACCESS_NETWORK_STATE,uses-permission,
android.permission.CAMERA,uses-permission,
android.permission.INTERNET,uses-permission,
android.permission.MODIFY_AUDIO_SETTINGS,uses-permission,
android.permission.POST_NOTIFICATIONS,uses-permission,
android.permission.RECORD_AUDIO,uses-permission,
android.permission.USE_BIOMETRIC,uses-permission,
android.permission.USE_FINGERPRINT,uses-permission,
android.permission.VIBRATE,uses-permission,
android.permission.WAKE_LOCK,uses-permission,
android.permission.WRITE_EXTERNAL_STORAGE,uses-permission,
app.goodcrypto.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,uses-permission,
com.android.vending.BILLING,uses-permission,
com.google.android.c2dm.permission.RECEIVE,uses-permission,
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,uses-permission,
com.google.android.gms.permission.AD_ID,uses-permission,
com.google.android.providers.gsf.permission.READ_GSERVICES,uses-permission,
com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,uses-permission,
com.samsung.android.mapsagent.permission.READ_APP_INFO,uses-permission,
