package,class
@capacitor-community/in-app-review,com.getcapacitor.community.inappreview.InAppReviewPlugin
@capacitor-firebase/analytics,io.capawesome.capacitorjs.plugins.firebase.analytics.FirebaseAnalyticsPlugin
@capacitor-firebase/app,io.capawesome.capacitorjs.plugins.firebase.app.FirebaseAppPlugin
@capacitor-firebase/authentication,io.capawesome.capacitorjs.plugins.firebase.authentication.FirebaseAuthenticationPlugin
@capacitor-firebase/crashlytics,io.capawesome.capacitorjs.plugins.firebase.crashlytics.FirebaseCrashlyticsPlugin
@capacitor-firebase/messaging,io.capawesome.capacitorjs.plugins.firebase.messaging.FirebaseMessagingPlugin
@capacitor-mlkit/barcode-scanning,io.capawesome.capacitorjs.plugins.mlkit.barcodescanning.BarcodeScannerPlugin
@capacitor/app,com.capacitorjs.plugins.app.AppPlugin
@capacitor/clipboard,com.capacitorjs.plugins.clipboard.ClipboardPlugin
@capacitor/haptics,com.capacitorjs.plugins.haptics.HapticsPlugin
@capacitor/inappbrowser,com.capacitorjs.osinappbrowser.InAppBrowserPlugin
@capacitor/keyboard,com.capacitorjs.plugins.keyboard.KeyboardPlugin
@capacitor/privacy-screen,com.capacitorjs.plugins.privacyscreen.PrivacyScreenPlugin
@capacitor/share,com.capacitorjs.plugins.share.SharePlugin
@capacitor/splash-screen,com.capacitorjs.plugins.splashscreen.SplashScreenPlugin
@capacitor/status-bar,com.capacitorjs.plugins.statusbar.StatusBarPlugin
@capgo/capacitor-app-tracking-transparency,ee.forgr.capacitor.apptrackingtransparency.AppTrackingTransparencyPlugin
@capgo/capacitor-native-biometric,ee.forgr.biometric.NativeBiometric
@revenuecat/purchases-capacitor,com.revenuecat.purchases.capacitor.PurchasesPlugin
appsflyer-capacitor-plugin,capacitor.plugin.appsflyer.sdk.AppsFlyerPlugin
capacitor-native-settings,nl.raphael.settings.NativeSettingsPlugin
