direction,event,wrapper,payload_shape,file,line_start,line_end
client_to_server,user-params-set,Et,"[""{ params: o }""]",index-DHlB7G7_.js,1010,1010
client_to_server,hello,Ja,"[""{ version: I.app.version }""]",index-DHlB7G7_.js,1740,1740
client_to_server,nonce-response,Et,[],index-DHlB7G7_.js,1936,1936
client_to_server,balances,Et,[],index-DHlB7G7_.js,2102,2102
client_to_server,user-keys-status,Et,[],index-DHlB7G7_.js,2103,2103
client_to_server,balances-import,Et,[],index-DHlB7G7_.js,2104,2104
client_to_server,orders-history,Et,"[""a"",""e""]",index-DHlB7G7_.js,2105,2105
client_to_server,user-login,Et,"[""{ verified: Pe().emailVerified }""]",index-DHlB7G7_.js,2113,2113
client_to_server,user-key-set,Et,"[""{ name: r, value: e, backfill: t ? !0 : void 0 }""]",index-DHlB7G7_.js,2114,2114
client_to_server,order-status,Et,"[""{ order: r }""]",index-DHlB7G7_.js,2115,2115
client_to_server,orders-short,Et,"[""r""]",index-DHlB7G7_.js,2116,2116
client_to_server,positions,Et,"[""{ active: \"active\" in r ? r.active : void 0, exchange: r.exchange || void 0, account: r.exchange ? r.account : void 0, symbol: r.symbol || void 0 }"",""e""]",index-DHlB7G7_.js,2117,2117
client_to_server,position-status,Et,"[""{ type: \"subscribe\", filter: r }""]",index-DHlB7G7_.js,2118,2118
client_to_server,position-status,Ja,"[""{ type: \"unsubscribe\" }""]",index-DHlB7G7_.js,2119,2119
client_to_server,position-refresh,Et,"[""{ position: { exchange: r, symbol: e, account_id: t, detailed: !0 } }""]",index-DHlB7G7_.js,2120,2120
client_to_server,balances-all-history,Et,"[""{ currency: (r = v.baseCurrencies[v.currency]) == null ? void 0 : r.id, type: \"subscribe\" }""]",index-DHlB7G7_.js,2121,2121
client_to_server,balances-all-history,Ja,"[""{ type: \"unsubscribe\" }""]",index-DHlB7G7_.js,2122,2122
client_to_server,balances-asset-history,Et,"[""{ currency: (e = v.baseCurrencies[v.currency]) == null ? void 0 : e.id, type: \"subscribe\", key: r }""]",index-DHlB7G7_.js,2123,2123
client_to_server,balances-asset-history,Ja,"[""{ type: \"unsubscribe\" }""]",index-DHlB7G7_.js,2124,2124
client_to_server,balances-exchange-history,Et,"[""{ currency: (e = v.baseCurrencies[v.currency]) == null ? void 0 : e.id, type: \"subscribe\", key: r }""]",index-DHlB7G7_.js,2125,2125
