method,path_template,base_url,evidence
getAssets,/A,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getExchanges,/E,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getSymbology,/S,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getAssetPrices,/AP,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getMCInfo,/MCI,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getAssetSparklines,/ASP,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getAssetSparklinesTS,"/ASP,S,1<period>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getAllSmallAssetsSparklines,"/MSP,<period>,...",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getMDCandles,"/MC,<period>,...",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getMDprice,"/MP,<exchange>,<pair>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getMDprints,"/MT,<exchange>,<pair>/...",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getMDbooks,"/BK,<exchange>,<pair>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getAllCurrencyRates,/FR,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getFiatSparklines,/FSP,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getPriceComparisonMapping,/PC,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getPriceComparisonTab,/AGM,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getVersionInfo,/V,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getFiatIndexesSnapshot,/FI,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getDexGems,/GEMS,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getOtaMessages,"/LANG,<locale>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getHotSwitchCurrencies,/HSCs,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getMeanVolume,/MV,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getAssetsIndicators,"/AIND,<...>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getTaData,"/IND,<symbol>,<resolution>,TVTA",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
getTAPeriods,/TAP,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
fetchInfoData,/INFO,https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchAssetsByBlockchain,"/dex/A,<chain>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchAssetByAddress,"/dex/A,<chain>,<address>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchExplorerTokens,"/dex/AC,1h,<chain>,<address>/<from>,<to>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchAssetPriceFromAP,"/dex/AP,<chain>,<address>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchAllAssetPrices,"/dex/AP,<chain>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchAllTokens,"/dex/SC,<chain>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
xFetchToken,"/dex/TIv2,<chain>,<address>",https://md.goodcrypto.app/api,index-DHlB7G7_.js:15 and REST client methods
